date,index
2018-01-01,126.926
2018-02-01,127.855
2018-03-01,129.125
2018-04-01,131.542
2018-05-01,133.676
2018-06-01,137.168
2018-07-01,137.924
2018-08-01,141.09
2018-09-01,149.986
2018-10-01,153.988
2018-11-01,151.766
2018-12-01,151.152
2019-01-01,152.76
2019-02-01,153.006
2019-03-01,154.579
2019-04-01,157.196
2019-05-01,158.689
2019-06-01,158.731
2019-07-01,160.884
2019-08-01,162.266
2019-09-01,163.877
2019-10-01,167.158
2019-11-01,167.796
2019-12-01,169.043
2020-01-01,171.326
2020-02-01,171.928
2020-03-01,172.911
2020-04-01,174.388
2020-05-01,176.764
2020-06-01,178.767
2020-07-01,179.811
2020-08-01,181.365
2020-09-01,183.13
2020-10-01,187.033
2020-11-01,191.331
2020-12-01,193.722
2021-01-01,196.98
2021-02-01,198.768
2021-03-01,200.906
2021-04-01,204.279
2021-05-01,206.094
2021-06-01,210.096
2021-07-01,213.888
2021-08-01,216.283
2021-09-01,218.992
2021-10-01,224.234
2021-11-01,232.108
2021-12-01,263.618
2022-01-01,292.891
2022-02-01,306.975
2022-03-01,323.748
2022-04-01,347.215
2022-05-01,357.565
2022-06-01,375.271
2022-07-01,384.147
2022-08-01,389.758
2022-09-01,401.746
2022-10-01,415.987
2022-11-01,427.983
2022-12-01,433.045
2023-01-01,461.838
2023-02-01,476.363
2023-03-01,487.269
2023-04-01,498.893
2023-05-01,499.108
2023-06-01,518.675
2023-07-01,567.892
2023-08-01,619.495
2023-09-01,648.94
2023-10-01,671.224
2023-11-01,693.248
2023-12-01,713.541
2024-01-01,761.372
2024-02-01,795.856
2024-03-01,821.026
2024-04-01,847.132
2024-05-01,875.664
2024-06-01,890.032
2024-07-01,918.741
2024-08-01,941.474
2024-09-01,969.419
2024-10-01,997.337
2024-11-01,1019.717
2024-12-01,1030.201
2025-01-01,1082.046
2025-02-01,1106.645
2025-03-01,1133.868
2025-04-01,1167.845
2025-05-01,1185.737
2025-06-01,1201.988
2025-07-01,1226.702
2025-08-01,1251.69
2025-09-01,1292.138
2025-10-01,1325.161
2025-11-01,1336.543
2025-12-01,1348.43
2026-01-01,1413.693
2026-02-01,1455.57
2026-03-01,1483.893
2026-04-01,1545.876
2026-05-01,1572.406
2026-06-01,1587.947
2026-07-01,1616.18
2026-08-01,1646.097
